ticker,cutoff_date,order,model_rmse,naive_rmse,model_mape,naive_mape,skill_vs_naive
AAPL,2026-05-26,"(1, 1, 0)",13.372971160980436,13.354220679484131,3.623993383306947,3.62048433086276,-0.001404086539105176
AAPL,2026-01-06,"(1, 1, 0)",9.02022549493083,8.981875162973617,2.914984711452555,2.865958030201298,-0.0042697467133929745
AAPL,2025-08-19,"(1, 1, 0)",12.870149229491659,12.883480414027462,3.8212488184302376,3.8246525383711885,0.0010347502466249159
AAPL,2025-04-01,"(1, 1, 0)",24.15738769967095,24.2303578554406,11.29153291869928,11.329281029158963,0.0030115178737761816
AAPL,2024-11-12,"(0, 1, 1)",18.888701229461176,18.906281301316188,6.60928666502407,6.617892486580147,0.0009298535007933317
CVX,2026-05-26,"(2, 1, 0)",10.111278083976611,10.079973138988175,4.778069595785774,4.760374545836876,-0.0031056575803116715
CVX,2026-01-06,"(2, 1, 2)",17.045501705998532,17.45364373584757,8.66073294247655,8.910870476230542,0.023384345184654265
CVX,2025-08-19,"(2, 1, 2)",6.273440322363435,5.97006856389585,3.838500184367058,3.6246745246390466,-0.05081545634203155
CVX,2025-04-01,"(2, 1, 2)",28.365052866827252,28.28127532547266,21.16800804097096,21.10294479173228,-0.0029622971521066077
CVX,2024-11-12,"(2, 1, 0)",6.757853263844565,6.752301950302736,4.222374826553599,4.216977597622685,-0.0008221364480862636
JNJ,2026-05-26,"(1, 1, 0)",16.00072274669972,16.10500763100604,4.652158764595122,4.6892661883851305,0.0064753079722574824
JNJ,2026-01-06,"(1, 1, 0)",24.386444944663978,24.357740957862624,9.262861447869362,9.249171278423042,-0.0011784338642490955
JNJ,2025-08-19,"(1, 1, 0)",2.3214276202362463,2.268179573622406,0.8909067436241196,0.8513660483402774,-0.023476115927100194
JNJ,2025-04-01,"(1, 1, 0)",2.586168706143675,2.824909006002771,1.3454654075909753,1.6116074673420218,0.08451256283009001
JNJ,2024-11-12,"(1, 1, 0)",3.943456963705751,3.893831651846337,2.3141267661205056,2.3050916273612954,-0.012744596145003673
JPM,2026-05-26,"(2, 1, 2)",19.628577846771442,19.5977041279025,5.215095571400916,5.207368669879093,-0.0015753742717743435
JPM,2026-01-06,"(2, 1, 2)",25.78374679710621,25.276897045412678,7.941087630558514,7.764287346644981,-0.020051897619510983
JPM,2025-08-19,"(2, 1, 2)",15.524948642969711,15.63112740134733,4.438168475856216,4.479532492084158,0.006792776723735683
JPM,2025-04-01,"(0, 1, 2)",12.73484353372837,12.680871556570732,4.454246516207682,4.45104498603861,-0.004256172528588564
JPM,2024-11-12,"(0, 1, 2)",5.63266572918534,5.8540344879071595,1.977800401619168,2.0701605955253326,0.03781473429633997
MCD,2026-05-26,"(0, 1, 2)",6.194146906774409,6.16441760976238,1.7678634538437272,1.7644795248901903,-0.004822725988737009
MCD,2026-01-06,"(2, 1, 2)",15.67201422219828,15.30598273092898,4.0988479527114485,3.9560179848272043,-0.02391427572498528
MCD,2025-08-19,"(0, 1, 2)",4.819661957636488,4.836865556275253,1.4306029070226804,1.4295831328550097,0.0035567659341791957
MCD,2025-04-01,"(0, 1, 2)",5.675336146780727,5.604214957057918,1.4197944528442805,1.4044358581997252,-0.012690660559556033
MCD,2024-11-12,"(0, 1, 2)",4.713228994989083,4.500133909779619,1.372103227508117,1.2915977005658548,-0.047353054260534266
MSFT,2026-05-26,"(0, 1, 1)",32.4692341888989,32.249327638202296,7.379393934788044,7.325623183309976,-0.006818949937923868
MSFT,2026-01-06,"(0, 1, 1)",48.12514366705741,48.787780265486454,9.196924197895164,9.339131098741351,0.013582019817733104
MSFT,2025-08-19,"(0, 1, 1)",6.190986435408373,5.709946178597486,0.9771421379453616,0.8811525753680978,-0.08424602295096295
