Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2018-01-02,V,114.56999969482422,115.08000183105469,113.94999694824219,114.51000213623047,107.88822937011719,6080900
2018-01-02,AAPL,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.26707458496094,102223600
2018-01-02,PG,91.91999816894531,91.93000030517578,90.55000305175781,90.6500015258789,72.28070068359375,7558900
2018-01-02,XOM,83.81999969482422,85.19999694824219,83.66000366210938,85.02999877929688,58.18549346923828,11469300
2018-01-02,CVX,125.70999908447266,127.73999786376953,125.54000091552734,127.58000183105469,88.6404800415039,5626000
2018-01-02,JPM,107.62999725341797,108.0199966430664,106.80999755859375,107.94999694824219,85.51605224609375,13578800
2018-01-02,UNH,221.02000427246094,222.4499969482422,220.0,221.16000366210938,191.993896484375,3485000
2018-01-02,MSFT,86.12999725341797,86.30999755859375,85.5,85.94999694824219,78.69989013671875,22483800
2018-01-02,MCD,173.72999572753906,174.47999572753906,172.66000366210938,173.22000122070312,142.7815704345703,3696900
2018-01-02,JNJ,139.66000366210938,139.9499969482422,138.72000122070312,139.22999572753906,110.13079833984375,6842100
2018-01-03,V,114.94999694824219,115.79000091552734,114.66000366210938,115.6500015258789,108.96233367919922,6946100
2018-01-03,AAPL,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.26005935668945,118071600
2018-01-03,PG,90.7300033569336,91.08999633789062,90.5199966430664,90.54000091552734,72.19302368164062,5863600
2018-01-03,XOM,85.16000366210938,86.97000122070312,84.81999969482422,86.69999694824219,59.3282470703125,13957700
2018-01-03,CVX,127.45999908447266,128.94000244140625,126.9000015258789,128.50999450683594,89.2866439819336,5805500
2018-01-03,JPM,107.86000061035156,108.48999786376953,107.4800033569336,108.05999755859375,85.60317993164062,11901000
2018-01-03,UNH,221.6199951171875,223.80999755859375,220.52000427246094,223.47999572753906,194.00791931152344,2417600
2018-01-03,MSFT,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,79.06617736816406,26061400
2018-01-03,MCD,173.22999572753906,173.63999938964844,172.0,172.49000549316406,142.17987060546875,3789600
2018-01-03,JNJ,139.36000061035156,140.67999267578125,138.89999389648438,140.55999755859375,111.18283081054688,5350500
2018-01-04,V,116.25,117.36000061035156,116.02999877929688,116.08000183105469,109.36746215820312,7805300
2018-01-04,AAPL,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.44707107543945,89738400
2018-01-04,PG,90.83000183105469,91.7699966430664,90.61000061035156,91.18000030517578,72.70332336425781,6322500
2018-01-04,XOM,86.79000091552734,87.22000122070312,86.43000030517578,86.81999969482422,59.41037368774414,10863000
2018-01-04,CVX,127.94999694824219,128.35000610351562,127.22000122070312,128.11000061035156,89.00874328613281,4598300
2018-01-04,JPM,108.36000061035156,110.02999877929688,108.19999694824219,109.04000091552734,86.8294677734375,12953700
2018-01-04,UNH,224.33999633789062,226.10000610351562,224.1699981689453,224.4499969482422,194.85003662109375,2749100
2018-01-04,MSFT,86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,79.76205444335938,21912000
2018-01-04,MCD,173.24000549316406,174.1300048828125,172.72999572753906,173.6999969482422,143.1772003173828,2756400
